campaign,platform,age_group,gender,location,impressions,clicks,spend,conversions,revenue
Tech Fest,Instagram,35-44,Female,Chandigarh,118196,7199,27329.05,372,94643.86
Winter Sale,Facebook,35-44,Female,Hyderabad,70479,2711,16855.72,92,17756.4
Festive Campaign,Facebook,45-54,Male,Bangalore,34963,2253,14421.92,148,38009.82
Diwali Offer,Google,35-44,Male,Mumbai,70123,2618,8933.01,69,15595.62
Diwali Offer,Facebook,18-24,Male,Mumbai,140911,4034,11569.91,80,11410.72
Flash Sale,Instagram,25-34,Male,Bangalore,117468,5582,40104.27,192,35859.07
Festive Campaign,Facebook,35-44,Male,Bangalore,88477,2506,13178.56,51,11248.88
Fashion Week,Google,45-54,Female,Hyderabad,29388,1097,3125.33,42,6494.36
Fashion Week,Facebook,25-34,Male,Mumbai,20569,1013,8579.3,16,3354.98
Flash Sale,Google,45-54,Male,Bangalore,84836,5263,14982.09,157,33491.88
Summer Sale,Facebook,25-34,Male,Bangalore,119573,3366,22451.93,37,5282.78
Winter Sale,Facebook,25-34,Male,Hyderabad,60002,1500,12603.11,50,9955.6
Winter Sale,Facebook,35-44,Female,Hyderabad,39071,1588,6248.91,81,18470.25
Diwali Offer,Instagram,18-24,Female,Chandigarh,73243,3543,11881.44,119,22591.6
Fashion Week,Instagram,35-44,Female,Hyderabad,140827,8815,28457.55,360,43810.0
Brand Awareness,Instagram,45-54,Female,Delhi,123215,7076,30565.85,289,35045.7
Tech Fest,Facebook,45-54,Female,Mumbai,116570,1959,6085.19,62,10539.01
Tech Fest,Instagram,25-34,Male,Chandigarh,84724,6233,41467.95,235,58671.78
Tech Fest,Facebook,25-34,Female,Delhi,130359,7371,21182.42,312,47428.6
Diwali Offer,Google,18-24,Female,Bangalore,90697,3414,18970.0,139,29024.72
Festive Campaign,Instagram,35-44,Female,Bangalore,43732,2201,18664.88,92,13900.34
College Offer,Facebook,45-54,Male,Chandigarh,136465,5244,38720.76,167,27560.64
Fashion Week,Google,25-34,Male,Hyderabad,72108,3534,21880.11,167,39867.22
Fashion Week,Instagram,18-24,Female,Bangalore,126195,7937,34426.91,84,18651.41
Brand Awareness,Instagram,45-54,Male,Pune,118081,9342,58325.61,561,74812.66
Winter Sale,Instagram,25-34,Male,Chandigarh,51668,2732,15469.26,81,14581.48
Summer Sale,Instagram,45-54,Female,Delhi,38061,1728,8737.63,19,2357.59
Flash Sale,Google,18-24,Male,Chandigarh,94252,2681,8805.11,81,15173.29
Winter Sale,Google,18-24,Male,Mumbai,54749,1983,15506.32,89,18933.93
Festive Campaign,Facebook,45-54,Male,Hyderabad,145560,5036,26180.69,130,17756.75
Flash Sale,Google,35-44,Female,Hyderabad,119680,7962,29202.51,450,72199.75
Fashion Week,Google,45-54,Female,Chandigarh,66745,2588,12180.57,127,22313.54
Festive Campaign,Instagram,25-34,Female,Bangalore,123464,7122,35501.59,398,98996.27
Flash Sale,Google,35-44,Male,Bangalore,106865,4787,35736.04,252,65282.04
Brand Awareness,Facebook,25-34,Female,Pune,127428,6277,43321.88,279,35234.24
Brand Awareness,Google,45-54,Male,Pune,38624,2909,20699.95,147,33301.54
New Product,Google,35-44,Male,Hyderabad,38321,1480,3797.96,15,2580.62
College Offer,Instagram,25-34,Male,Pune,37574,1845,9219.32,60,10496.65
Brand Awareness,Instagram,45-54,Female,Delhi,133831,9037,48691.94,321,72416.67
Fashion Week,Instagram,45-54,Female,Pune,110257,6966,18217.16,482,119815.42
Summer Sale,Facebook,35-44,Female,Delhi,79291,4532,18394.84,171,43285.23
Tech Fest,Google,45-54,Female,Pune,142600,7416,52369.86,286,57427.99
New Product,Google,18-24,Male,Hyderabad,65428,2662,8844.92,99,16829.7
Tech Fest,Instagram,25-34,Female,Hyderabad,146374,9088,51909.39,392,90260.69
College Offer,Facebook,25-34,Male,Delhi,146127,7058,26758.37,391,60659.82
Flash Sale,Facebook,45-54,Female,Chandigarh,126317,5664,14571.91,145,28850.7
Diwali Offer,Instagram,45-54,Female,Hyderabad,142449,8701,34344.66,386,65697.58
Brand Awareness,Instagram,18-24,Female,Chandigarh,43699,2962,24748.23,109,23100.19
Summer Sale,Instagram,35-44,Male,Bangalore,88686,6122,44747.06,187,28733.64
College Offer,Google,45-54,Male,Delhi,82661,5090,42030.47,178,26134.5
Tech Fest,Instagram,45-54,Male,Hyderabad,59247,3719,20183.48,158,39271.45
New Product,Facebook,45-54,Male,Mumbai,120113,3963,12516.81,85,11411.46
Brand Awareness,Facebook,45-54,Male,Bangalore,19621,721,4172.97,14,2671.68
Fashion Week,Instagram,25-34,Female,Chandigarh,33030,2294,11989.05,68,10262.52
Brand Awareness,Google,45-54,Male,Hyderabad,97838,3443,26050.23,92,11541.42
New Product,Google,25-34,Male,Delhi,99717,4928,15220.11,86,10753.67
New Product,Instagram,45-54,Male,Pune,53638,2696,14637.79,122,17632.79
Diwali Offer,Facebook,35-44,Male,Mumbai,82067,2900,9860.85,83,20031.87
Brand Awareness,Instagram,18-24,Female,Chandigarh,133033,9357,41620.46,277,44194.53
Brand Awareness,Instagram,35-44,Male,Bangalore,120977,6931,47991.23,251,63519.14
Diwali Offer,Instagram,45-54,Female,Delhi,103869,5770,30904.75,173,34846.89
Festive Campaign,Facebook,45-54,Female,Mumbai,120186,2245,10675.72,50,9056.3
Festive Campaign,Facebook,45-54,Female,Delhi,49674,2183,10624.35,106,21328.52
Flash Sale,Instagram,35-44,Male,Hyderabad,61271,3844,20206.68,78,15002.35
Festive Campaign,Instagram,45-54,Female,Pune,88688,7180,51768.51,390,88229.18
Winter Sale,Google,35-44,Male,Bangalore,126076,5207,40888.01,152,24251.52
Brand Awareness,Instagram,25-34,Male,Delhi,16062,925,7614.61,44,7454.79
Summer Sale,Instagram,18-24,Male,Chandigarh,65448,3795,27405.29,163,39963.23
Brand Awareness,Facebook,18-24,Male,Hyderabad,110462,5957,26165.77,173,43683.18
Winter Sale,Google,35-44,Male,Hyderabad,62915,2759,18288.88,79,19351.69
Winter Sale,Instagram,25-34,Female,Bangalore,19632,1145,5868.83,35,6255.3
Tech Fest,Facebook,35-44,Female,Hyderabad,119592,5058,20373.74,225,51581.51
Brand Awareness,Google,25-34,Male,Chandigarh,149668,7070,53344.77,245,45738.32
College Offer,Instagram,45-54,Female,Delhi,124779,6194,16913.08,363,68844.98
Winter Sale,Facebook,25-34,Male,Bangalore,123099,4595,36349.08,130,19325.18
Summer Sale,Instagram,25-34,Female,Hyderabad,22561,1531,8066.63,57,11557.22
Diwali Offer,Facebook,25-34,Female,Hyderabad,97152,2203,13930.03,22,3213.3
Flash Sale,Facebook,18-24,Female,Chandigarh,140036,5124,33081.18,51,8487.37
Tech Fest,Facebook,25-34,Female,Pune,139049,3698,29105.87,36,8629.35
Diwali Offer,Instagram,45-54,Female,Pune,41734,2893,18283.81,144,21454.65
Tech Fest,Google,45-54,Male,Hyderabad,41069,1097,6783.41,32,4158.79
Summer Sale,Instagram,45-54,Male,Delhi,27910,1347,3906.18,21,2722.88
New Product,Instagram,25-34,Female,Bangalore,88479,5266,29544.62,273,68716.78
Brand Awareness,Instagram,35-44,Male,Hyderabad,96264,7102,24154.0,307,58627.44
Fashion Week,Facebook,35-44,Female,Mumbai,38275,1309,9064.3,38,6738.07
College Offer,Facebook,45-54,Male,Bangalore,87274,2473,13782.85,107,24986.96
Diwali Offer,Instagram,18-24,Female,Pune,115776,8981,59107.25,556,131780.69
Brand Awareness,Facebook,35-44,Female,Hyderabad,63447,1118,3074.54,16,2664.11
College Offer,Instagram,25-34,Female,Chandigarh,141394,4045,12170.4,54,11723.75
New Product,Facebook,35-44,Male,Mumbai,90703,3653,24832.88,36,8206.46
Fashion Week,Instagram,45-54,Male,Hyderabad,91090,4461,13081.91,119,25186.48
College Offer,Facebook,18-24,Female,Delhi,32260,733,2145.89,13,1835.9
College Offer,Instagram,35-44,Female,Mumbai,127581,8101,20841.04,255,61869.03
Diwali Offer,Google,35-44,Male,Hyderabad,18812,901,7423.35,29,5668.72
Festive Campaign,Instagram,45-54,Male,Delhi,131148,6325,43800.94,227,36216.97
Fashion Week,Instagram,18-24,Male,Mumbai,131421,5209,24063.02,143,25673.07
Brand Awareness,Instagram,18-24,Male,Delhi,16605,1087,4651.51,39,4885.14
New Product,Google,45-54,Male,Delhi,87303,4609,21193.19,182,25098.05
Fashion Week,Google,25-34,Female,Mumbai,91125,3992,28534.5,151,34303.66
Summer Sale,Instagram,35-44,Male,Mumbai,139040,10728,69391.1,406,48720.66
Festive Campaign,Facebook,25-34,Female,Delhi,19324,428,1545.58,16,2853.11
Summer Sale,Google,35-44,Female,Pune,91323,2437,8638.33,53,10237.03
New Product,Facebook,35-44,Male,Mumbai,24111,643,1987.11,15,1914.73
Diwali Offer,Facebook,25-34,Male,Hyderabad,31389,1081,6985.22,38,9736.78
Diwali Offer,Instagram,45-54,Female,Bangalore,137177,7945,56300.14,342,51866.88
New Product,Instagram,45-54,Male,Chandigarh,56427,2940,12025.42,142,23087.47
Tech Fest,Google,35-44,Female,Delhi,137883,6787,17820.42,264,42913.72
New Product,Google,45-54,Male,Delhi,146189,4382,13115.46,77,11723.89
Festive Campaign,Facebook,35-44,Male,Chandigarh,140808,7367,61198.85,306,36783.14
Winter Sale,Instagram,45-54,Male,Pune,127221,6871,29357.51,168,37314.19
Diwali Offer,Instagram,35-44,Female,Chandigarh,28234,1931,13739.72,91,23237.61
Flash Sale,Facebook,45-54,Male,Mumbai,68441,2676,16719.6,79,11960.69
Festive Campaign,Google,18-24,Female,Chandigarh,15846,799,3828.52,26,5533.49
Festive Campaign,Google,25-34,Male,Delhi,25954,1345,5022.4,47,10521.68
Festive Campaign,Google,18-24,Female,Chandigarh,94239,4747,15324.83,64,15281.89
College Offer,Facebook,25-34,Male,Bangalore,61514,2627,16261.33,66,11825.09
Festive Campaign,Instagram,25-34,Female,Hyderabad,103236,7324,52350.51,356,57818.08
Diwali Offer,Instagram,35-44,Female,Mumbai,112579,6457,41088.64,270,44696.16
Winter Sale,Google,25-34,Female,Chandigarh,57101,3055,17357.94,78,17141.82
Winter Sale,Facebook,18-24,Female,Delhi,79323,2690,7402.09,113,26481.45
Festive Campaign,Instagram,18-24,Female,Hyderabad,106922,7728,64226.89,292,42464.38
Summer Sale,Instagram,45-54,Female,Mumbai,142534,6682,48727.05,306,52611.11
Diwali Offer,Facebook,18-24,Male,Delhi,82584,4675,19901.16,209,51470.77
Diwali Offer,Instagram,45-54,Female,Pune,119537,6516,54602.92,200,46587.42
Fashion Week,Instagram,25-34,Female,Bangalore,93477,3536,21609.52,178,45902.67
Brand Awareness,Facebook,18-24,Female,Pune,57533,2102,12600.51,29,6542.25
Tech Fest,Facebook,25-34,Male,Bangalore,16828,451,3151.79,15,2625.71
Tech Fest,Facebook,18-24,Male,Chandigarh,16917,762,5616.41,34,6891.44
Summer Sale,Instagram,18-24,Male,Mumbai,35618,1680,10817.3,44,9351.85
Tech Fest,Facebook,45-54,Female,Chandigarh,47254,1400,4576.0,58,7597.06
Fashion Week,Instagram,25-34,Male,Bangalore,120292,3888,17611.1,90,17660.66
New Product,Instagram,18-24,Male,Bangalore,62362,3091,24939.74,121,26535.89
Tech Fest,Facebook,35-44,Female,Bangalore,35128,351,1350.54,6,860.55
Diwali Offer,Facebook,25-34,Female,Hyderabad,138781,2219,10502.53,34,7795.81
New Product,Google,25-34,Male,Delhi,80545,4359,22198.04,209,42161.19
Tech Fest,Facebook,25-34,Female,Mumbai,97180,4317,22173.97,183,46355.92
Diwali Offer,Facebook,45-54,Female,Chandigarh,102958,4129,25507.47,41,5163.5
Diwali Offer,Instagram,35-44,Female,Chandigarh,148291,6435,52499.66,309,48558.01
Festive Campaign,Instagram,25-34,Female,Pune,54809,2983,11765.42,55,11231.96
Winter Sale,Instagram,18-24,Male,Bangalore,131748,7240,23378.02,370,59761.8
Summer Sale,Instagram,18-24,Female,Bangalore,20287,833,3069.46,37,8140.72
Fashion Week,Google,45-54,Male,Bangalore,23512,1482,11591.54,44,9955.47
College Offer,Instagram,18-24,Male,Chandigarh,147414,9659,61574.82,382,51322.55
Brand Awareness,Google,25-34,Male,Pune,123872,5245,22109.99,97,18618.14
Tech Fest,Facebook,18-24,Male,Delhi,108070,3817,28229.32,96,18359.49
Tech Fest,Google,25-34,Female,Hyderabad,94767,4501,34514.66,139,23866.2
New Product,Facebook,18-24,Female,Mumbai,112829,1184,8973.64,27,6766.46
New Product,Facebook,35-44,Female,Delhi,57078,1828,14648.79,76,17924.67
Brand Awareness,Facebook,45-54,Male,Chandigarh,121288,3252,13051.73,130,28289.21
Tech Fest,Instagram,45-54,Male,Hyderabad,98524,4234,29766.09,107,23540.61
Flash Sale,Facebook,35-44,Male,Hyderabad,27219,860,4526.38,20,3692.81
Fashion Week,Instagram,35-44,Female,Hyderabad,15235,1166,8805.62,35,8712.87
Tech Fest,Instagram,45-54,Male,Bangalore,57929,3631,24948.4,120,26069.2
Winter Sale,Facebook,35-44,Female,Mumbai,142309,4005,28670.53,142,31532.14
Brand Awareness,Instagram,25-34,Female,Chandigarh,82444,5100,32828.55,315,75800.57
Flash Sale,Google,18-24,Female,Chandigarh,116834,7219,25732.65,199,31515.63
Fashion Week,Google,45-54,Female,Hyderabad,99555,5584,32220.58,180,41938.19
Tech Fest,Google,35-44,Male,Chandigarh,88698,4054,34086.11,135,19890.05
College Offer,Instagram,25-34,Female,Mumbai,139450,6587,53514.95,249,41918.62
Festive Campaign,Instagram,45-54,Male,Mumbai,58925,3734,10302.26,125,20873.18
Winter Sale,Google,35-44,Female,Pune,102388,5090,17758.44,208,53454.66
College Offer,Facebook,45-54,Male,Pune,23007,1052,3461.47,29,6957.54
New Product,Google,35-44,Male,Delhi,73596,3872,26545.97,144,31415.58
New Product,Google,45-54,Female,Mumbai,136101,7838,58053.81,366,81174.39
Tech Fest,Google,25-34,Female,Mumbai,103861,4006,15146.96,119,23644.13
New Product,Instagram,25-34,Female,Mumbai,101740,7204,39874.98,304,76788.18
Winter Sale,Instagram,18-24,Male,Pune,30524,1751,13209.93,67,12694.91
Fashion Week,Google,45-54,Female,Hyderabad,146149,10216,70457.8,468,81091.52
Diwali Offer,Instagram,18-24,Female,Hyderabad,140501,6565,37771.22,195,27850.86
Summer Sale,Instagram,45-54,Male,Chandigarh,35611,2700,16313.63,127,29218.74
Brand Awareness,Facebook,35-44,Female,Hyderabad,29060,1086,6027.48,52,11586.75
Fashion Week,Google,35-44,Male,Bangalore,58303,2167,9286.22,77,13383.35
Diwali Offer,Facebook,18-24,Female,Pune,54711,1597,9406.54,33,4076.39
Flash Sale,Facebook,45-54,Male,Mumbai,88340,2752,18254.87,93,22083.75
Winter Sale,Instagram,18-24,Male,Hyderabad,117974,7089,54868.42,266,32345.21
College Offer,Facebook,25-34,Female,Pune,82728,3414,21568.79,154,33651.77
Diwali Offer,Google,18-24,Male,Hyderabad,26246,1000,7066.73,33,8442.59
Winter Sale,Instagram,18-24,Female,Delhi,142796,7812,27032.88,291,52750.32
Festive Campaign,Facebook,35-44,Female,Mumbai,107263,6511,34308.7,307,46939.16
College Offer,Google,18-24,Male,Delhi,26302,1728,4416.75,44,9622.01
New Product,Facebook,45-54,Female,Mumbai,82506,3319,13209.86,56,13126.28
New Product,Facebook,35-44,Male,Pune,56157,1991,13655.81,27,5305.51
College Offer,Facebook,18-24,Male,Chandigarh,69917,2547,21524.34,77,19664.64
Flash Sale,Instagram,25-34,Male,Hyderabad,111646,6962,21547.87,442,56237.26
Flash Sale,Instagram,18-24,Male,Hyderabad,98122,4192,20578.39,246,46905.16
Flash Sale,Google,18-24,Male,Bangalore,39519,1656,12089.51,64,14117.35
Diwali Offer,Google,18-24,Male,Delhi,95910,2395,8919.49,67,16131.57
Brand Awareness,Google,35-44,Male,Hyderabad,135430,6743,39315.13,96,13929.2
Diwali Offer,Google,45-54,Male,Pune,86324,4555,31422.34,141,32712.07
Tech Fest,Facebook,25-34,Female,Chandigarh,20408,595,3686.57,8,1579.03
Summer Sale,Facebook,18-24,Female,Pune,74379,4008,14541.62,122,21413.14
College Offer,Google,45-54,Male,Delhi,40053,1213,5618.99,28,3876.32
Fashion Week,Facebook,45-54,Female,Bangalore,146994,2561,18446.24,31,7475.38
Summer Sale,Facebook,35-44,Female,Hyderabad,113723,4286,24967.49,42,5964.77
Festive Campaign,Google,25-34,Female,Pune,66356,3819,9667.33,187,30550.25
Diwali Offer,Google,35-44,Female,Mumbai,25789,1681,11877.85,52,8351.53
Diwali Offer,Instagram,45-54,Female,Chandigarh,112720,5578,15126.8,215,52029.56
Winter Sale,Instagram,45-54,Female,Pune,81656,5548,38693.99,392,83957.94
Summer Sale,Instagram,45-54,Male,Chandigarh,59028,3219,11958.21,88,20375.11
Winter Sale,Facebook,35-44,Female,Hyderabad,79484,2617,21586.17,26,4031.7
Fashion Week,Instagram,25-34,Female,Mumbai,47154,3093,14560.74,127,26350.26
Winter Sale,Facebook,18-24,Female,Bangalore,17336,742,3310.5,33,6601.47
Summer Sale,Facebook,35-44,Female,Bangalore,118677,1908,6474.47,77,18217.91
College Offer,Instagram,45-54,Male,Mumbai,82779,6019,26084.09,203,50110.99
Festive Campaign,Facebook,35-44,Male,Chandigarh,34029,1754,13610.87,75,9127.65
Diwali Offer,Instagram,45-54,Male,Hyderabad,74201,3524,29876.49,102,21865.0
Fashion Week,Instagram,18-24,Male,Pune,47265,2824,13300.64,113,14380.04
Diwali Offer,Google,18-24,Female,Mumbai,117916,6005,31175.94,409,80507.65
Tech Fest,Instagram,25-34,Male,Delhi,61197,3557,24302.94,79,12661.22
Festive Campaign,Instagram,45-54,Male,Chandigarh,140733,6810,53234.96,259,42203.72
Brand Awareness,Facebook,25-34,Male,Bangalore,86907,2341,14182.4,67,11350.75
Winter Sale,Google,25-34,Male,Mumbai,143876,6430,31180.06,296,61266.36
New Product,Instagram,18-24,Female,Bangalore,79435,5486,27296.86,261,43526.19
Summer Sale,Facebook,35-44,Male,Chandigarh,55631,2309,15409.59,80,17806.23
Diwali Offer,Instagram,35-44,Female,Bangalore,144038,7281,18343.09,230,40625.78
Winter Sale,Instagram,25-34,Male,Mumbai,35103,2255,14020.54,106,13734.36
Fashion Week,Facebook,18-24,Female,Chandigarh,79772,797,3692.47,7,1608.08
Diwali Offer,Facebook,45-54,Female,Delhi,141108,6883,50006.26,294,47041.81
Brand Awareness,Facebook,35-44,Male,Mumbai,29382,414,1265.99,4,722.35
Festive Campaign,Facebook,25-34,Male,Pune,99291,3043,18346.9,90,19436.59
Festive Campaign,Google,35-44,Male,Hyderabad,116195,3667,19749.87,93,15488.58
Diwali Offer,Facebook,35-44,Male,Mumbai,149828,2916,18528.13,95,12152.59
Fashion Week,Instagram,45-54,Female,Chandigarh,35609,2454,7089.9,112,19303.08
Festive Campaign,Google,18-24,Female,Hyderabad,90683,3571,21354.23,35,8827.8
Festive Campaign,Instagram,45-54,Male,Mumbai,139714,8265,48506.52,464,97367.07
Brand Awareness,Facebook,18-24,Male,Delhi,145330,5004,29343.26,82,17548.58
Summer Sale,Instagram,35-44,Female,Delhi,86315,5241,32079.77,178,37116.47
Fashion Week,Instagram,25-34,Male,Pune,92834,5191,34046.77,166,24544.58
Fashion Week,Google,45-54,Female,Bangalore,141205,4180,30639.12,172,30713.48
College Offer,Google,18-24,Male,Hyderabad,29153,1660,6837.41,23,5178.03
College Offer,Facebook,35-44,Female,Chandigarh,91325,2655,19780.54,164,22007.52
Festive Campaign,Facebook,18-24,Female,Chandigarh,70318,1147,6296.5,34,5402.58
New Product,Instagram,18-24,Female,Bangalore,146886,7324,21696.25,282,44749.08
College Offer,Instagram,18-24,Female,Delhi,130033,9493,27067.44,455,82119.61
Festive Campaign,Instagram,35-44,Female,Delhi,91077,5938,26753.24,283,72802.21
Flash Sale,Facebook,25-34,Male,Mumbai,105474,3250,23430.49,103,13333.39
Tech Fest,Facebook,25-34,Female,Pune,148515,4575,30863.34,151,29085.34
Tech Fest,Facebook,25-34,Male,Hyderabad,88319,2750,19887.15,88,12769.77
Fashion Week,Instagram,18-24,Female,Pune,140885,11259,63091.09,602,154048.62
New Product,Google,35-44,Female,Pune,124777,6186,31803.43,206,27987.67
Brand Awareness,Facebook,18-24,Male,Mumbai,32368,1299,4396.74,37,6530.65
Summer Sale,Facebook,25-34,Male,Pune,106751,5056,22596.06,162,36175.23
College Offer,Facebook,25-34,Male,Bangalore,42306,1601,8171.69,68,14867.36
Flash Sale,Facebook,35-44,Male,Mumbai,52219,1665,5047.62,55,9855.01
