campaign,platform,age_group,gender,location,impressions,clicks,spend,conversions,revenue,CTR,CPC,Conversion_Rate,ROAS,ROI
Flash Sale,Google,35-44,Female,Hyderabad,68682,1982,9695.9,19,4810.8,2.8857633732273373,4.891977800201817,0.958627648839556,0.4961684835858456,-50.38315164141544
Tech Fest,Instagram,25-34,Female,Bangalore,74494,3275,11063.75,140,36298.46,4.39632722098424,3.3782442748091603,4.2748091603053435,3.2808460061010054,228.08460061010055
Tech Fest,Instagram,45-54,Female,Bangalore,96317,4136,19460.73,106,23281.97,4.294153680035715,4.705205512572534,2.5628626692456478,1.1963564573374175,19.635645733741754
Diwali Offer,Google,18-24,Male,Chandigarh,80215,2870,8348.93,77,19816.73,3.57788443557938,2.909034843205575,2.682926829268293,2.373565235305602,137.3565235305602
Flash Sale,Facebook,18-24,Female,Mumbai,93587,3236,8591.16,101,20173.29,3.457745199653798,2.6548702101359702,3.1211372064276883,2.348145070048748,134.81450700487477
College Offer,Facebook,35-44,Female,Mumbai,21949,829,2744.82,26,4064.73,3.7769374458973077,3.3110012062726177,3.1363088057901085,1.4808730627144948,48.087306271449485
Tech Fest,Google,35-44,Female,Bangalore,70393,4477,37063.7,232,42033.63,6.360007387098149,8.278691087781997,5.18204154567791,1.1340915774733769,13.409157747337694
Tech Fest,Instagram,35-44,Male,Mumbai,40934,1760,10203.03,47,9545.63,4.299604240973274,5.797176136363637,2.6704545454545454,0.9355681596545339,-6.443184034546615
Winter Sale,Instagram,45-54,Male,Bangalore,90745,6062,50283.88,311,40501.97,6.680257865447133,8.29493236555592,5.130320026393929,0.8054662846224278,-19.45337153775722
Flash Sale,Instagram,18-24,Male,Pune,109456,5739,29240.13,196,40597.1,5.2432027481362375,5.094986931521171,3.41522913399547,1.388403539929542,38.8403539929542
Tech Fest,Google,18-24,Male,Chandigarh,68413,3037,13274.41,126,32427.98,4.439214769122827,4.370895620678301,4.148831083305894,2.44289426046054,144.28942604605402
New Product,Facebook,35-44,Female,Delhi,112239,4837,26781.75,191,28003.48,4.309553720186388,5.536851354145131,3.9487285507546,1.0456180047980435,4.561800479804343
Flash Sale,Instagram,25-34,Male,Chandigarh,57318,2380,12226.23,47,10855.28,4.152273282389476,5.137071428571429,1.9747899159663864,0.8878681326950336,-11.213186730496636
Festive Campaign,Instagram,35-44,Female,Bangalore,85390,5088,15945.73,276,68201.21,5.958543154936176,3.1339878144654087,5.4245283018867925,4.2770829557505365,327.7082955750537
Winter Sale,Instagram,45-54,Female,Bangalore,58088,3310,21001.81,110,27733.0,5.6982509296240185,6.344957703927493,3.3232628398791544,1.320505232644234,32.05052326442339
Tech Fest,Instagram,35-44,Female,Chandigarh,118196,7199,27329.05,372,94643.86,6.090730650783445,3.7962286428670646,5.167384358938742,3.4631229406071564,246.3122940607156
Winter Sale,Facebook,35-44,Female,Hyderabad,70479,2711,16855.72,92,17756.4,3.8465358475574285,6.217528587237182,3.3935817041682035,1.0534346797407645,5.343467974076457
Festive Campaign,Facebook,45-54,Male,Bangalore,34963,2253,14421.92,148,38009.82,6.443955038183222,6.4012072791833114,6.569019085663559,2.6355589269667283,163.55589269667286
Diwali Offer,Google,35-44,Male,Mumbai,70123,2618,8933.01,69,15595.62,3.7334398129001896,3.4121504965622615,2.635599694423224,1.745841547250031,74.58415472500312
Diwali Offer,Facebook,18-24,Male,Mumbai,140911,4034,11569.91,80,11410.72,2.862799923355877,2.8680986613782844,1.983143282102132,0.9862410338541959,-1.3758966145804117
Flash Sale,Instagram,25-34,Male,Bangalore,117468,5582,40104.27,192,35859.07,4.751932441175469,7.184570046578287,3.4396273737011827,0.8941459350837205,-10.585406491627943
Festive Campaign,Facebook,35-44,Male,Bangalore,88477,2506,13178.56,51,11248.88,2.832374515410785,5.258802873104549,2.03511572226656,0.8535742903625282,-14.64257096374718
Fashion Week,Google,45-54,Female,Hyderabad,29388,1097,3125.33,42,6494.36,3.7328161154212607,2.84897903372835,3.828623518687329,2.0779757657591356,107.79757657591358
Fashion Week,Facebook,25-34,Male,Mumbai,20569,1013,8579.3,16,3354.98,4.9248869658223535,8.469200394866732,1.5794669299111548,0.39105521429487256,-60.894478570512746
Flash Sale,Google,45-54,Male,Bangalore,84836,5263,14982.09,157,33491.88,6.203734263755953,2.8466825004750143,2.9830894926847806,2.2354611406018785,123.54611406018785
Summer Sale,Facebook,25-34,Male,Bangalore,119573,3366,22451.93,37,5282.78,2.815016767999465,6.670210932857992,1.0992275698158052,0.23529291245785997,-76.47070875421402
Winter Sale,Facebook,25-34,Male,Hyderabad,60002,1500,12603.11,50,9955.6,2.499916669444352,8.402073333333334,3.3333333333333335,0.7899320088454358,-21.006799115456424
Winter Sale,Facebook,35-44,Female,Hyderabad,39071,1588,6248.91,81,18470.25,4.064395587520156,3.935081863979849,5.100755667506298,2.9557554837563673,195.5755483756367
Diwali Offer,Instagram,18-24,Female,Chandigarh,73243,3543,11881.44,119,22591.6,4.837322337970864,3.353497036409822,3.3587355348574652,1.9014193565763071,90.1419356576307
Fashion Week,Instagram,35-44,Female,Hyderabad,140827,8815,28457.55,360,43810.0,6.259453087831169,3.2283096993760636,4.083947816222349,1.5394860063498088,53.94860063498088
Brand Awareness,Instagram,45-54,Female,Delhi,123215,7076,30565.85,289,35045.7,5.742807288073692,4.319650932730356,4.084228377614471,1.1465638940189786,14.656389401897865
Tech Fest,Facebook,45-54,Female,Mumbai,116570,1959,6085.19,62,10539.01,1.6805353006777042,3.1062736089841754,3.164880040837162,1.7319114111473923,73.19114111473924
Tech Fest,Instagram,25-34,Male,Chandigarh,84724,6233,41467.95,235,58671.78,7.356829233747226,6.652968073158992,3.7702550938552863,1.4148705204863032,41.48705204863033
Tech Fest,Facebook,25-34,Female,Delhi,130359,7371,21182.42,312,47428.6,5.654385197799922,2.8737511870845203,4.232804232804233,2.239054838871102,123.90548388711018
Diwali Offer,Google,18-24,Female,Bangalore,90697,3414,18970.0,139,29024.72,3.764181836223911,5.556531927357938,4.071470415934388,1.5300326831839748,53.00326831839748
Festive Campaign,Instagram,35-44,Female,Bangalore,43732,2201,18664.88,92,13900.34,5.032927833165645,8.480181735574739,4.179918218991367,0.7447323529537827,-25.52676470462173
College Offer,Facebook,45-54,Male,Chandigarh,136465,5244,38720.76,167,27560.64,3.8427435606199394,7.383821510297484,3.1845919145690313,0.7117794175527546,-28.82205824472454
Fashion Week,Google,25-34,Male,Hyderabad,72108,3534,21880.11,167,39867.22,4.900981860542519,6.191315789473684,4.7255234861346915,1.822075848796007,82.20758487960069
Fashion Week,Instagram,18-24,Female,Bangalore,126195,7937,34426.91,84,18651.41,6.289472641546813,4.337521733652514,1.0583343832682373,0.5417683434266972,-45.82316565733027
Brand Awareness,Instagram,45-54,Male,Pune,118081,9342,58325.61,561,74812.66,7.911518364512496,6.243375080282595,6.005138086062941,1.2826725687052394,28.267256870523948
Winter Sale,Instagram,25-34,Male,Chandigarh,51668,2732,15469.26,81,14581.48,5.287605481148874,5.662247437774524,2.964860907759883,0.9426100537452987,-5.73899462547013
Summer Sale,Instagram,45-54,Female,Delhi,38061,1728,8737.63,19,2357.59,4.540080397257035,5.0564988425925925,1.099537037037037,0.26982030596397427,-73.01796940360258
Flash Sale,Google,18-24,Male,Chandigarh,94252,2681,8805.11,81,15173.29,2.8445019734329247,3.2842633345766505,3.021260723610593,1.723236847694123,72.32368476941231
Winter Sale,Google,18-24,Male,Mumbai,54749,1983,15506.32,89,18933.93,3.6219839631774096,7.819626828038325,4.48814926878467,1.221045999308669,22.104599930866904
Festive Campaign,Facebook,45-54,Male,Hyderabad,145560,5036,26180.69,130,17756.75,3.4597416872767246,5.198707307386814,2.5814138204924544,0.6782384268711024,-32.176157312889764
Flash Sale,Google,35-44,Female,Hyderabad,119680,7962,29202.51,450,72199.75,6.65274064171123,3.667735493594574,5.651846269781462,2.472381654864599,147.2381654864599
Fashion Week,Google,45-54,Female,Chandigarh,66745,2588,12180.57,127,22313.54,3.8774440032961275,4.706557187017001,4.90726429675425,1.8318962084697188,83.18962084697186
Festive Campaign,Instagram,25-34,Female,Bangalore,123464,7122,35501.59,398,98996.27,5.768483120585758,4.984778152204436,5.588317888233642,2.788502430454524,178.85024304545237
Flash Sale,Google,35-44,Male,Bangalore,106865,4787,35736.04,252,65282.04,4.479483460440743,7.465226655525381,5.264257363693336,1.8267843890929156,82.67843890929157
Brand Awareness,Facebook,25-34,Female,Pune,127428,6277,43321.88,279,35234.24,4.925918950309194,6.901685518559821,4.444798470606978,0.8133128109860421,-18.668718901395785
Brand Awareness,Google,45-54,Male,Pune,38624,2909,20699.95,147,33301.54,7.53158657829329,7.115830182193194,5.0532829150910965,1.6087739342365561,60.87739342365561
New Product,Google,35-44,Male,Hyderabad,38321,1480,3797.96,15,2580.62,3.8621121578246917,2.5661891891891893,1.0135135135135136,0.6794752972648475,-32.05247027351526
College Offer,Instagram,25-34,Male,Pune,37574,1845,9219.32,60,10496.65,4.910310320966626,4.996921409214092,3.2520325203252036,1.1385492639370365,13.854926393703657
Brand Awareness,Instagram,45-54,Female,Delhi,133831,9037,48691.94,321,72416.67,6.7525461216011236,5.388064623215669,3.5520637379661393,1.487241420243268,48.7241420243268
Fashion Week,Instagram,45-54,Female,Pune,110257,6966,18217.16,482,119815.42,6.317966206227268,2.6151536032156186,6.919322423198391,6.577063603766998,557.7063603766998
Summer Sale,Facebook,35-44,Female,Delhi,79291,4532,18394.84,171,43285.23,5.715654992369878,4.058879082082965,3.773168578993822,2.353118048322247,135.3118048322247
Tech Fest,Google,45-54,Female,Pune,142600,7416,52369.86,286,57427.99,5.2005610098176716,7.061739482200648,3.856526429341963,1.0965847531385418,9.658475313854185
New Product,Google,18-24,Male,Hyderabad,65428,2662,8844.92,99,16829.7,4.068594485541358,3.3226596543951916,3.71900826446281,1.9027532187967784,90.27532187967783
Tech Fest,Instagram,25-34,Female,Hyderabad,146374,9088,51909.39,392,90260.69,6.208752920600653,5.711860695422535,4.313380281690141,1.7388123805731488,73.88123805731487
College Offer,Facebook,25-34,Male,Delhi,146127,7058,26758.37,391,60659.82,4.83004509775743,3.7912113913289884,5.539812978180788,2.2669475009127984,126.69475009127984
Flash Sale,Facebook,45-54,Female,Chandigarh,126317,5664,14571.91,145,28850.7,4.483957028745142,2.5727242231638416,2.5600282485875705,1.9798845861661238,97.98845861661238
Diwali Offer,Instagram,45-54,Female,Hyderabad,142449,8701,34344.66,386,65697.58,6.1081509873709185,3.947208366854385,4.436271692908861,1.9128906793661662,91.28906793661662
Brand Awareness,Instagram,18-24,Female,Chandigarh,43699,2962,24748.23,109,23100.19,6.778187143870569,8.355243079000674,3.6799459824442944,0.9334077628985992,-6.659223710140082
Summer Sale,Instagram,35-44,Male,Bangalore,88686,6122,44747.06,187,28733.64,6.9030061114493835,7.309222476314929,3.0545573342045085,0.6421347011401419,-35.7865298859858
College Offer,Google,45-54,Male,Delhi,82661,5090,42030.47,178,26134.5,6.157680163559599,8.257459724950884,3.4970530451866404,0.6217988997030012,-37.82011002969988
Tech Fest,Instagram,45-54,Male,Hyderabad,59247,3719,20183.48,158,39271.45,6.277111077354128,5.4271255713901585,4.2484538854530784,1.9457224423142094,94.57224423142094
New Product,Facebook,45-54,Male,Mumbai,120113,3963,12516.81,85,11411.46,3.2993930715243147,3.1584178652535955,2.1448397678526367,0.9116907582682808,-8.830924173171923
Brand Awareness,Facebook,45-54,Male,Bangalore,19621,721,4172.97,14,2671.68,3.674634320371031,5.787753120665743,1.9417475728155338,0.640234653016916,-35.976534698308406
Fashion Week,Instagram,25-34,Female,Chandigarh,33030,2294,11989.05,68,10262.52,6.945201332122313,5.226264167393199,2.964254577157803,0.8559910918713327,-14.400890812866733
Brand Awareness,Google,45-54,Male,Hyderabad,97838,3443,26050.23,92,11541.42,3.519082565056522,7.5661428986349115,2.67208829509149,0.4430448406789499,-55.69551593210501
New Product,Google,25-34,Male,Delhi,99717,4928,15220.11,86,10753.67,4.941985819870233,3.0884963474025975,1.74512987012987,0.706543513811661,-29.345648618833902
New Product,Instagram,45-54,Male,Pune,53638,2696,14637.79,122,17632.79,5.0262873336067715,5.429447329376855,4.525222551928784,1.2046073895034701,20.460738950347015
Diwali Offer,Facebook,35-44,Male,Mumbai,82067,2900,9860.85,83,20031.87,3.5336980759623238,3.400293103448276,2.8620689655172415,2.0314546920397327,103.14546920397328
Brand Awareness,Instagram,18-24,Female,Chandigarh,133033,9357,41620.46,277,44194.53,7.0335931686123,4.448056000854975,2.960350539702896,1.061846265034072,6.184626503407218
Brand Awareness,Instagram,35-44,Male,Bangalore,120977,6931,47991.23,251,63519.14,5.729188192796978,6.924142259414227,3.6214110517962776,1.3235572416043513,32.35572416043514
Diwali Offer,Instagram,45-54,Female,Delhi,103869,5770,30904.75,173,34846.89,5.555074179976701,5.356109185441941,2.998266897746967,1.1275577378881887,12.75577378881887
Festive Campaign,Facebook,45-54,Female,Mumbai,120186,2245,10675.72,50,9056.3,1.8679380293877823,4.755331848552339,2.2271714922048997,0.8483081234801961,-15.169187651980383
Festive Campaign,Facebook,45-54,Female,Delhi,49674,2183,10624.35,106,21328.52,4.394653138462777,4.8668575355016035,4.855703160787907,2.0075129302027888,100.75129302027888
Flash Sale,Instagram,35-44,Male,Hyderabad,61271,3844,20206.68,78,15002.35,6.273767361394461,5.256680541103018,2.0291363163371487,0.7424450726195496,-25.755492738045042
Festive Campaign,Instagram,45-54,Female,Pune,88688,7180,51768.51,390,88229.18,8.095796500090204,7.210098885793872,5.43175487465181,1.7043020940722458,70.43020940722457
Winter Sale,Google,35-44,Male,Bangalore,126076,5207,40888.01,152,24251.52,4.13004854214918,7.852508162089495,2.9191473017092373,0.5931205749558367,-40.687942504416334
Brand Awareness,Instagram,25-34,Male,Delhi,16062,925,7614.61,44,7454.79,5.7589341302453,8.232010810810811,4.756756756756757,0.9790114004525511,-2.098859954744888
Summer Sale,Instagram,18-24,Male,Chandigarh,65448,3795,27405.29,163,39963.23,5.798496516318298,7.221420289855073,4.295125164690382,1.45823050951112,45.823050951112
Brand Awareness,Facebook,18-24,Male,Hyderabad,110462,5957,26165.77,173,43683.18,5.392804765439699,4.392440825919087,2.904146382407252,1.669478100587141,66.94781005871411
Winter Sale,Google,35-44,Male,Hyderabad,62915,2759,18288.88,79,19351.69,4.385281729317333,6.628807538963393,2.86335628851033,1.0581123611724719,5.811236117247189
Winter Sale,Instagram,25-34,Female,Bangalore,19632,1145,5868.83,35,6255.3,5.832314588427058,5.125615720524017,3.056768558951965,1.0658512855202826,6.585128552028261
Tech Fest,Facebook,35-44,Female,Hyderabad,119592,5058,20373.74,225,51581.51,4.229379891631548,4.028022933965995,4.448398576512456,2.5317644183149484,153.17644183149483
Brand Awareness,Google,25-34,Male,Chandigarh,149668,7070,53344.77,245,45738.32,4.723788652216906,7.545229137199434,3.4653465346534658,0.8574096392204897,-14.259036077951029
College Offer,Instagram,45-54,Female,Delhi,124779,6194,16913.08,363,68844.98,4.963976310116286,2.7305586051017117,5.860510171133355,4.070517019963247,307.05170199632465
Winter Sale,Facebook,25-34,Male,Bangalore,123099,4595,36349.08,130,19325.18,3.732767934751704,7.910572361262242,2.8291621327529923,0.5316552716052235,-46.83447283947764
Summer Sale,Instagram,25-34,Female,Hyderabad,22561,1531,8066.63,57,11557.22,6.7860467177873325,5.268863487916395,3.7230568256041803,1.43271973550293,43.271973550292984
Diwali Offer,Facebook,25-34,Female,Hyderabad,97152,2203,13930.03,22,3213.3,2.26758069828722,6.323209260099864,0.9986382206082615,0.2306743057983364,-76.93256942016635
Flash Sale,Facebook,18-24,Female,Chandigarh,140036,5124,33081.18,51,8487.37,3.6590590990888057,6.45612412177986,0.9953161592505856,0.25656188805840663,-74.34381119415933
Tech Fest,Facebook,25-34,Female,Pune,139049,3698,29105.87,36,8629.35,2.6594941351609864,7.870705786911844,0.9734991887506761,0.2964814314088533,-70.35185685911468
